Timestamp,ParticipantID,TaskType,Technique,TaskBlock,Trial,CoinName,Event,Duration
44.0455,10,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
44.2331,10,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
48.4093,10,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
48.6743,10,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
53.7557,10,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
53.9089,10,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
57.7506,10,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
58.6422,10,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
60.2151,10,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
65.7842,10,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
66.4943,10,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
86.9400,10,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
88.2600,10,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
108.9200,10,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
111.1800,10,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
113.0400,10,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
115.9600,10,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
116.8400,10,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
124.5000,10,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
130.5800,10,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
131.9599,10,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
135.7599,10,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
135.8199,10,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
136.0999,10,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
137.7800,10,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
138.2399,10,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
146.7200,10,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
146.9200,10,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
149.2199,10,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
154.9399,10,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
155.4200,10,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Castle,
158.9799,10,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Town,
159.8274,10,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
160.4400,10,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
160.4817,10,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
160.4954,10,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
160.5235,10,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
160.5372,10,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
169.6199,10,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Castle,
169.8599,10,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Castle,
169.9999,10,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Castle,
171.0356,10,ObjectCollection,Portal_Palette_Hand,0,1,,Confirm_Transition,World Target (Castle),
171.2727,10,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
175.3092,10,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
176.8599,10,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
178.0098,10,ObjectCollection,Portal_Palette_Hand,0,1,,Confirm_Transition,World Target (Snowscape),
178.5115,10,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
180.3495,10,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
182.1999,10,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
182.3199,10,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
182.3999,10,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
182.7399,10,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
182.9999,10,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
183.0082,10,ObjectCollection,Portal_Palette_Hand,0,1,,Confirm_Transition,World Target (Funland),
183.1498,10,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
192.7673,10,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
196.5199,10,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Town,
197.8629,10,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
199.2269,10,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
200.2399,10,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Town,
201.3014,10,ObjectCollection,Portal_Palette_Hand,0,1,,Confirm_Transition,World Target (Town),
201.8029,10,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
203.1249,10,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
203.9463,10,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
204.0162,10,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
204.8599,10,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,City,
205.7574,10,ObjectCollection,Portal_Palette_Hand,0,1,,Confirm_Transition,World Target (City),
206.2576,10,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
208.1109,10,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
209.1674,10,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
210.4353,10,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
211.1599,10,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Home,
211.7571,10,ObjectCollection,Portal_Palette_Hand,0,1,,Confirm_Transition,World Target (Home),
212.2161,10,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
238.2786,10,ObjectCollection,Portal_Palette_Hand,0,1,goldCoin_medieval_grab_2,SpawnedCoin,0.00
241.2028,10,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
243.7399,10,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Castle,
246.1199,10,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Castle,
246.6999,10,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Castle,
246.7399,10,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Castle,
247.5599,10,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Castle,
247.7799,10,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Castle,
247.8599,10,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Castle,
249.3399,10,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
250.1399,10,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
251.0199,10,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
251.4999,10,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
251.9599,10,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
252.4399,10,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
253.4799,10,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
254.7199,10,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
254.8799,10,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
256.5599,10,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
256.7999,10,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
256.8399,10,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
257.6199,10,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Town,
257.6991,10,ObjectCollection,Portal_Palette_Hand,0,1,,Confirm_Transition,World Target (Town),
258.2005,10,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
266.5799,10,ObjectCollection,Portal_Palette_Hand,0,1,goldCoin_medieval_grab_2,GrabbedCoin,28.30
266.5812,10,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
266.7066,10,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
267.5278,10,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
267.6394,10,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
268.7954,10,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
270.5399,10,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Home,
271.0245,10,ObjectCollection,Portal_Palette_Hand,0,1,,Confirm_Transition,World Target (Home),
271.2454,10,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
273.9040,10,ObjectCollection,Portal_Palette_Hand,0,1,goldCoin_medieval_grab_2,DepositedInChest,7.32
273.9040,10,ObjectCollection,Portal_Palette_Hand,0,2,goldCoin_snowy_grab_2,SpawnedCoin,0.00
275.7003,10,ObjectCollection,Portal_Palette_Hand,0,2,,Enable_Interface,,
276.8799,10,ObjectCollection,Portal_Palette_Hand,0,2,,SelectedMenuItem,City,
280.8668,10,ObjectCollection,Portal_Palette_Hand,0,2,,Disable_Interface,,
281.0355,10,ObjectCollection,Portal_Palette_Hand,0,2,,Enable_Interface,,
284.2999,10,ObjectCollection,Portal_Palette_Hand,0,2,,SelectedMenuItem,Town,
285.3799,10,ObjectCollection,Portal_Palette_Hand,0,2,,SelectedMenuItem,Town,
285.4399,10,ObjectCollection,Portal_Palette_Hand,0,2,,SelectedMenuItem,Town,
285.5599,10,ObjectCollection,Portal_Palette_Hand,0,2,,SelectedMenuItem,Town,
286.3599,10,ObjectCollection,Portal_Palette_Hand,0,2,,SelectedMenuItem,Town,
287.0799,10,ObjectCollection,Portal_Palette_Hand,0,2,,SelectedMenuItem,Town,
287.3199,10,ObjectCollection,Portal_Palette_Hand,0,2,,SelectedMenuItem,Town,
287.7599,10,ObjectCollection,Portal_Palette_Hand,0,2,,SelectedMenuItem,Town,
288.1599,10,ObjectCollection,Portal_Palette_Hand,0,2,,SelectedMenuItem,Town,
288.9399,10,ObjectCollection,Portal_Palette_Hand,0,2,,SelectedMenuItem,Funland,
289.6095,10,ObjectCollection,Portal_Palette_Hand,0,2,,Confirm_Transition,World Target (Funland),
290.1098,10,ObjectCollection,Portal_Palette_Hand,0,2,,Disable_Interface,,
290.1237,10,ObjectCollection,Portal_Palette_Hand,0,2,,Enable_Interface,,
290.1237,10,ObjectCollection,Portal_Palette_Hand,0,2,,Disable_Interface,,
290.1517,10,ObjectCollection,Portal_Palette_Hand,0,2,,Enable_Interface,,
290.1517,10,ObjectCollection,Portal_Palette_Hand,0,2,,Disable_Interface,,
290.1793,10,ObjectCollection,Portal_Palette_Hand,0,2,,Enable_Interface,,
290.1793,10,ObjectCollection,Portal_Palette_Hand,0,2,,Disable_Interface,,
290.1930,10,ObjectCollection,Portal_Palette_Hand,0,2,,Enable_Interface,,
290.1930,10,ObjectCollection,Portal_Palette_Hand,0,2,,Disable_Interface,,
290.2067,10,ObjectCollection,Portal_Palette_Hand,0,2,,Enable_Interface,,
290.2067,10,ObjectCollection,Portal_Palette_Hand,0,2,,Disable_Interface,,
290.2228,10,ObjectCollection,Portal_Palette_Hand,0,2,,Enable_Interface,,
290.2228,10,ObjectCollection,Portal_Palette_Hand,0,2,,Disable_Interface,,
290.2365,10,ObjectCollection,Portal_Palette_Hand,0,2,,Enable_Interface,,
290.5011,10,ObjectCollection,Portal_Palette_Hand,0,2,,Disable_Interface,,
