Timestamp,ParticipantID,TaskType,Technique,TaskBlock,Trial,CoinName,Event,Duration,
30.8281,19,ObjectCollection,WIM_Gallery,0,1,,Enable_Interface,,
52.4,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Funland,
56.32,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Town,
57.02,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,City,
58.74,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,City,
59.68,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,City,
60.18,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Town,
60.38,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Funland,
60.52,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Town,
60.84,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Funland,
61.1,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Snowy,
61.26,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Castle,
62.68,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Snowy,
62.92,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Funland,
63.08,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Town,
65.3,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Town,
66.34,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,City,
67.66,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,City,
68.36,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Town,
69.24,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Funland,
69.7,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Snowy,
70.58,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Funland,
71.12,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Town,
71.26,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,City,
72.06,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,City,
72.22,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Town,
72.32,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Funland,
72.38,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Snowy,
72.48,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Castle,
72.8,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Snowy,
72.96,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Funland,
73.08,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Town,
73.26,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,City,
74.1,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,City,
75.08,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,City,
76,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,City,
76.08,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Town,
76.18,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Funland,
76.36,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Funland,
76.56,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Snowy,
76.74,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Castle,
76.94,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Snowy,
77.02,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Funland,
77.08,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Town,
77.14,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,City,
