Index,Timestamp,ParticipantID,TaskType,Technique,TaskBlock,Trial,CoinName,Event,Duration,Unnamed: 9
1,30.8281,19,ObjectCollection,WIM_Gallery,0,1,,Enable_Interface,,
2,52.4,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Funland,
3,56.32,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Town,
4,57.02,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,City,
5,58.74,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,City,
6,59.68,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,City,
7,60.18,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Town,
8,60.38,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Funland,
9,60.52,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Town,
10,60.84,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Funland,
11,61.1,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Snowy,
12,61.26,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Castle,
13,62.68,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Snowy,
14,62.92,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Funland,
15,63.08,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Town,
16,65.3,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Town,
17,66.34,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,City,
18,67.66,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,City,
19,68.36,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Town,
20,69.24,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Funland,
21,69.7,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Snowy,
22,70.58,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Funland,
23,71.12,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Town,
24,71.26,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,City,
25,72.06,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,City,
26,72.22,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Town,
27,72.32,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Funland,
28,72.38,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Snowy,
29,72.48,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Castle,
30,72.8,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Snowy,
31,72.96,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Funland,
32,73.08,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Town,
33,73.26,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,City,
34,74.1,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,City,
35,75.08,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,City,
36,76.0,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,City,
37,76.08,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Town,
38,76.18,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Funland,
39,76.36,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Funland,
40,76.56,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Snowy,
41,76.74,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Castle,
42,76.94,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Snowy,
43,77.02,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Funland,
44,77.08,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Town,
45,77.14,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,City,
46,78.48,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,City,
47,79.06,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Town,
48,79.26,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Funland,
49,80.24,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Town,
50,80.82,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Town,
51,91.1566,19,ObjectCollection,WIM_Gallery,0,1,,Disable_Interface,,
52,96.6964,19,ObjectCollection,WIM_Gallery,0,1,,Enable_Interface,,
53,96.8,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Town,
54,97.616,19,ObjectCollection,WIM_Gallery,0,1,,Disable_Interface,,
55,97.9774,19,ObjectCollection,WIM_Gallery,0,1,,Enable_Interface,,
56,98.08,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Town,
57,99.1055,19,ObjectCollection,WIM_Gallery,0,1,,Disable_Interface,,
58,99.8279,19,ObjectCollection,WIM_Gallery,0,1,,Enable_Interface,,
59,99.88,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Funland,
60,101.5832,19,ObjectCollection,WIM_Gallery,0,1,,Disable_Interface,,
61,102.0413,19,ObjectCollection,WIM_Gallery,0,1,,Enable_Interface,,
62,102.14,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Funland,
63,102.24,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Funland,
64,103.0174,19,ObjectCollection,WIM_Gallery,0,1,,Disable_Interface,,
65,103.489,19,ObjectCollection,WIM_Gallery,0,1,,Enable_Interface,,
66,103.58,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Funland,
67,107.7651,19,ObjectCollection,WIM_Gallery,0,1,,Disable_Interface,,
68,107.9185,19,ObjectCollection,WIM_Gallery,0,1,,Enable_Interface,,
69,107.92,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Funland,
70,112.4565,19,ObjectCollection,WIM_Gallery,0,1,,Disable_Interface,,
71,130.8441,19,ObjectCollection,WIM_Gallery,0,1,,Enable_Interface,,
72,131.0399,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Town,
73,131.56,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Funland,
74,131.92,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Town,
75,133.5443,19,ObjectCollection,WIM_Gallery,0,1,,Confirm_Transition,World Target (Town),
76,134.0454,19,ObjectCollection,WIM_Gallery,0,1,,Disable_Interface,,
77,140.657,19,ObjectCollection,WIM_Gallery,0,1,,Enable_Interface,,
78,141.3799,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Funland,
79,141.44,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Snowy,
80,141.5199,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Castle,
81,141.8,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Snowy,
82,141.86,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Funland,
83,142.1799,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,City,
84,143.36,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,City,
85,144.0,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Funland,
86,145.2092,19,ObjectCollection,WIM_Gallery,0,1,,Confirm_Transition,World Target (Funland),
87,145.7106,19,ObjectCollection,WIM_Gallery,0,1,,Disable_Interface,,
88,159.0467,19,ObjectCollection,WIM_Gallery,0,1,,Enable_Interface,,
89,159.1799,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Town,
90,160.9399,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Snowy,
91,161.0799,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Castle,
92,161.4999,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Snowy,
93,162.4599,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Snowy,
94,163.8199,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Town,
95,163.8999,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,City,
96,164.0587,19,ObjectCollection,WIM_Gallery,0,1,,Confirm_Transition,World Target (City),
97,164.5597,19,ObjectCollection,WIM_Gallery,0,1,,Disable_Interface,,
98,164.6175,19,ObjectCollection,WIM_Gallery,0,1,,Enable_Interface,,
99,164.8999,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Town,
100,169.544,19,ObjectCollection,WIM_Gallery,0,1,,Disable_Interface,,
101,179.3429,19,ObjectCollection,WIM_Gallery,0,1,,Enable_Interface,,
102,179.4199,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Funland,
103,182.8799,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Snowy,
104,183.5799,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Funland,
105,183.7199,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Snowy,
106,183.9999,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Snowy,
107,184.881,19,ObjectCollection,WIM_Gallery,0,1,,Confirm_Transition,World Target (Snowscape),
108,185.3842,19,ObjectCollection,WIM_Gallery,0,1,,Disable_Interface,,
109,212.8056,19,ObjectCollection,WIM_Gallery,0,1,,Enable_Interface,,
110,213.1799,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Funland,
111,213.3399,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Town,
112,213.5999,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Funland,
113,213.8199,19,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Castle,
114,214.5448,19,ObjectCollection,WIM_Gallery,0,1,,Confirm_Transition,World Target (Castle),
115,215.0465,19,ObjectCollection,WIM_Gallery,0,1,,Disable_Interface,,
116,215.1575,19,ObjectCollection,WIM_Gallery,0,1,,Enable_Interface,,
