Timestamp,ParticipantID,TaskType,Technique,TaskBlock,Trial,CoinName,Event,Duration
8.3573,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
8.9200,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
9.2862,999,ObjectCollection,Portal_Palette_Hand,0,1,,Confirm_Transition,World Target (Funland),
9.8059,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
9.8899,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
10.0600,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
10.2800,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Home,
10.6185,999,ObjectCollection,Portal_Palette_Hand,0,1,,Confirm_Transition,World Target (Home),
11.1155,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
16.4070,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
16.4368,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Town,
16.4919,999,ObjectCollection,Portal_Palette_Hand,0,1,,Confirm_Transition,World Target (Town),
16.9942,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
